"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Final price (pre-tax)"
"Kbracelets","13019","Bracelets","9763","0","40.00"
"Kbracelets","13019","Bracelets","9764","0","42.00"
"Kbracelets","13019","Bracelets","9765","0","44.00"
"Kbracelets","13019","Bracelets","9766","0","46.00"
"Kbracelets","13019","Bracelets","9767","0","48.00"
"Kbracelets","13019","Bracelets","9768","0","50.00"
"Kbracelets","13019","Bracelets","9769","1","6.00"
"Kbo","13020","Earrings","9770","2","8.00"
"Kbo","13020","Earrings","9771","3","10.00"
"Kbo","13020","Earrings","9772","6","12.00"
"Kbo","13020","Earrings","9773","1","14.00"
"Kbo","13020","Earrings","9774","6","16.00"
"Kbo","13020","Earrings","9775","1","18.00"
"Kbo","13020","Earrings","9776","1","20.00"
"Kbo","13020","Earrings","9777","0","22.00"
"Kbo","13020","Earrings","9778","0","24.00"
"Kbo","13020","Earrings","9779","0","26.00"
"Kbo","13020","Earrings","9780","0","28.00"
"Kbo","13020","Earrings","9781","0","30.00"
"Kbo","13020","Earrings","9782","0","32.00"
"Kbo","13020","Earrings","9783","0","34.00"
"Kbo","13020","Earrings","9784","0","36.00"
"Kbo","13020","Earrings","9785","0","38.00"
"Kbo","13020","Earrings","9786","0","40.00"
"Kbo","13020","Earrings","9787","0","42.00"
"Kbo","13020","Earrings","9788","0","44.00"
"Kbo","13020","Earrings","9789","0","46.00"
"Kbo","13020","Earrings","9790","0","48.00"
"Kbo","13020","Earrings","9791","0","50.00"
"Kbo","13020","Earrings","9792","0","6.00"
"Heart Orange","13075","Pin -  ""Heart Orange""","9841","2","28.00"
"Heart Orange","13075","Pin -  ""Heart Orange""","9842","3","34.00"
"etoile-couleurs","13076","Pin - ""Colors Stars""","","9","34.00"
"DC1421","13185","DC1421 Earrings","","6","15.95"
"BB2","13186","BB2 Earrings ""Birch Bark""","","5","17.95"
"BB8","13187","BB8 Earrings ""Birch Bark""","","4","12.95"
"ES60DC","13193","ES60 Earth Stone Pendant","","7","18.00"
"BB6","13224","BB6 Earrings ""Birch Bark""","","4","18.95"
"25","13257","Bastien - Belts","","26","21.00"
"Red Dress","13290","Pin - ""Red Dress""","","27","30.00"
"Cwipes","13292","Connoisseurs - Wipes","","7","16.25"
"Ccloth","13293","Connoisseurs - Cloth","","5","18.25"
"KEEincense","13395","Indigenous Astrology Incense","10196","14","7.30"
"KEEincense","13395","Indigenous Astrology Incense","10197","19","7.30"
"KEEincense","13395","Indigenous Astrology Incense","10198","18","7.30"
"KEEincense","13395","Indigenous Astrology Incense","10199","17","7.30"
"KEEincense","13395","Indigenous Astrology Incense","10200","27","7.30"
"KEEincense","13395","Indigenous Astrology Incense","10201","14","7.30"
"KEEincense","13395","Indigenous Astrology Incense","10202","10","7.30"
"KEEincense","13395","Indigenous Astrology Incense","10203","12","7.30"
"KEEincense","13395","Indigenous Astrology Incense","10204","12","7.30"
"KEEincense","13395","Indigenous Astrology Incense","10205","18","7.30"
"KEEincense","13395","Indigenous Astrology Incense","10206","24","7.30"
"KEEincense","13395","Indigenous Astrology Incense","10207","14","7.30"
"KEEincense","13395","Indigenous Astrology Incense","10208","35","7.30"
"KEEincense","13395","Indigenous Astrology Incense","10209","11","7.30"
"Coquelicot-couleurs","13548","Pin - ""Poppy-Colors""","","19","26.00"
"Fab-13D","13558","13D Candle Holder Arrow","","8","40.00"
"KC-Rabbit","13575","Key Chain - Rabbit Paw","","7","5.00"
"NC5X7","13680","NC 5x7","","10","5.50"
"Lavabracelets","13738","Lava Bead Bracelets","10280","4","9.95"
"Lavabracelets","13738","Lava Bead Bracelets","10281","4","9.95"
"Lavabracelets","13738","Lava Bead Bracelets","10282","0","9.95"
"Lavabracelets","13738","Lava Bead Bracelets","10283","3","9.95"
"EEincense","13739","Earth's Essence Incense","10284","4","11.95"
"EEincense","13739","Earth's Essence Incense","10285","0","11.95"
"EEincense","13739","Earth's Essence Incense","10286","2","11.95"
"DCC20","13740","DCC20 Earrings","","6","36.95"
"DC14","13742","DC14 Earrings","","12","20.95"
"DC21","13765","DC21 Earrings","","5","36.95"
"BB4","13766","BB4 Earrings ""Birch Bark""","","8","17.95"
"DC5","13767","DC5  Earrings","","8","16.95"
"DC3","13771","DC3  Earrings","","7","16.95"
"DC4","13772","DC4  Earrings","","4","16.95"
"BB3-P","13777","BB3 Pendant ""Birch Bark""","","12","10.95"
