"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Unit price (tax excl.)","Unit price (per)"
"502115BDBK","16127","Suede Moccasins for Men","12270","Shoe Size - 13","0","155.00","67.30","0.00",""
"502115BDBK","16127","Suede Moccasins for Men","12271","Shoe Size - 14","0","155.00","67.30","0.00",""
"502115BDBK","16127","Suede Moccasins for Men","12272","Shoe Size - 15","0","155.00","67.30","0.00",""
"502113DNMA","16128","Suede Moccasins for Men","12273","Shoe Size - 6","0","155.00","67.30","0.00",""
"502113DNMA","16128","Suede Moccasins for Men","12274","Shoe Size - 7","0","155.00","67.30","0.00",""
"502113DNMA","16128","Suede Moccasins for Men","12275","Shoe Size - 8","0","155.00","67.30","0.00",""
"502113DNMA","16128","Suede Moccasins for Men","12276","Shoe Size - 9","1","155.00","67.30","0.00",""
"502113DNMA","16128","Suede Moccasins for Men","12277","Shoe Size - 10","1","155.00","67.30","0.00",""
"502113DNMA","16128","Suede Moccasins for Men","12278","Shoe Size - 11","0","155.00","67.30","0.00",""
"502113DNMA","16128","Suede Moccasins for Men","12279","Shoe Size - 12","0","155.00","67.30","0.00",""
"502113DNMA","16128","Suede Moccasins for Men","12280","Shoe Size - 13","0","155.00","67.30","0.00",""
"502113DNMA","16128","Suede Moccasins for Men","12281","Shoe Size - 14","0","155.00","67.30","0.00",""
"502113DNMA","16128","Suede Moccasins for Men","12282","Shoe Size - 15","0","155.00","67.30","0.00",""
