"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price","Pre-tax retail price"
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6146","Shoe Size - 9","0","140.00","60.70","53.00","140.00"
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6147","Shoe Size - 10","0","140.00","60.70","53.00","140.00"
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6148","Shoe Size - 11","0","140.00","60.70","53.00","140.00"
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6149","Shoe Size - 12","0","140.00","60.70","53.00","140.00"
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6150","Shoe Size - 13","0","140.00","60.70","53.00","140.00"
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6151","Shoe Size - 14","0","140.00","60.70","57.00","140.00"
"5000-0000-27-11563BL","1406","Leather Moccasins for Men","6152","Shoe Size - 15","0","140.00","60.70","57.00","140.00"
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","6158","Shoe Size - 11","0","106.00","45.90","0.00","106.00"
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","7306","Shoe Size - 12","0","106.00","45.90","0.00","106.00"
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","7307","Shoe Size - 13","0","106.00","45.90","0.00","106.00"
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","7308","Shoe Size - 14","0","106.00","45.90","0.00","106.00"
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","7309","Shoe Size - 15","0","106.00","45.90","0.00","106.00"
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","7310","Shoe Size - 6","0","106.00","45.90","0.00","106.00"
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","7311","Shoe Size - 7","0","106.00","45.90","0.00","106.00"
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","7312","Shoe Size - 8","0","106.00","45.90","0.00","106.00"
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","7313","Shoe Size - 9","0","106.00","45.90","0.00","106.00"
"5000-0400-00-2479DT","1407","Leather Moccasins for Men","7314","Shoe Size - 10","0","106.00","45.90","0.00","106.00"
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","6166","Shoe Size - 9","1","143.00","62.00","62.00","143.00"
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","6167","Shoe Size - 10","2","143.00","62.00","62.00","143.00"
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","6169","Shoe Size - 12","1","143.00","62.00","62.00","143.00"
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7315","Shoe Size - 6","0","143.00","62.00","62.00","143.00"
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7316","Shoe Size - 7","0","143.00","62.00","62.00","143.00"
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7317","Shoe Size - 8","0","143.00","62.00","62.00","143.00"
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7318","Shoe Size - 11","1","143.00","62.00","62.00","143.00"
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7319","Shoe Size - 13","0","143.00","62.00","62.00","143.00"
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7320","Shoe Size - 14","0","143.00","62.00","62.00","143.00"
"5000-0800-17-7055RK","1408","Leather Moccasins for Men","7321","Shoe Size - 15","0","143.00","62.00","62.00","143.00"
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6171","Shoe Size - 6","0","98.00","42.00","82.00","98.00"
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6172","Shoe Size - 7","0","98.00","42.00","82.00","98.00"
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6173","Shoe Size - 8","0","98.00","42.00","82.00","98.00"
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6174","Shoe Size - 9","0","98.00","42.00","82.00","98.00"
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6175","Shoe Size - 10","0","98.00","42.00","82.00","98.00"
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6176","Shoe Size - 11","0","98.00","42.00","82.00","98.00"
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6177","Shoe Size - 12","0","98.00","42.00","82.00","98.00"
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6178","Shoe Size - 13","0","98.00","42.00","82.00","98.00"
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6179","Shoe Size - 14","0","98.00","42.00","82.00","98.00"
"5100-0400-27-7709MO","1409","Suede Moccasins for Men","6180","Shoe Size - 15","0","98.00","42.00","82.00","98.00"
"5000-0800-17-7055BL","1410","Leather Moccasins for Men","6181","Shoe Size - 6","0","143.00","62.00","0.00","143.00"
"5000-0800-17-7055BL","1410","Leather Moccasins for Men","6182","Shoe Size - 7","0","143.00","62.00","0.00","143.00"
"5000-0800-17-7055BL","1410","Leather Moccasins for Men","6183","Shoe Size - 8","0","143.00","62.00","0.00","143.00"
"5000-0800-17-7055BL","1410","Leather Moccasins for Men","6184","Shoe Size - 9","0","143.00","62.00","0.00","143.00"
"5000-0800-17-7055BL","1410","Leather Moccasins for Men","6185","Shoe Size - 10","0","143.00","62.00","0.00","143.00"
